SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_50_0,1225,1339300,668,161500,225,122800,246,51600,232,85900,
seq_50_1,1225,244900,676,157900,218,175100,290,71000,221,136900,
seq_50_2,1225,184600,648,124600,227,105200,238,39500,310,97000,
seq_50_3,1225,183800,657,147800,225,139200,302,48000,241,74200,
seq_50_4,1225,161900,716,122100,221,90000,273,40300,214,53700,
seq_50_5,1225,170000,745,111100,215,88800,323,8200,195,45300,
seq_50_6,1225,179700,639,117300,223,107100,267,8300,281,68300,
seq_50_7,1225,176700,589,113200,224,31000,248,11000,193,84900,
seq_50_8,1225,192200,690,131900,226,22600,233,9300,204,62500,
seq_50_9,1225,177100,559,100700,221,34800,254,11400,203,18300,
seq_50_10,1225,260500,683,136600,219,16200,264,6600,211,8700,
seq_50_11,1225,179900,596,118400,224,17500,276,8100,253,10600,
seq_50_12,1225,256700,750,211300,227,28500,284,9000,257,17100,
seq_50_13,1225,151000,593,104200,219,20200,230,6300,265,12500,
seq_50_14,1225,164000,682,101600,228,24200,272,7200,194,8700,
seq_50_15,1225,191100,716,136300,219,47400,222,8300,207,28500,
seq_50_16,1225,158600,692,107700,224,17800,241,17000,240,11500,
seq_50_17,1225,186300,648,130700,223,27600,242,10200,213,14200,
seq_50_18,1225,225500,652,121300,223,25200,219,8500,227,13400,
seq_50_19,1225,189600,743,136000,222,21600,244,9900,238,14100,
seq_50_20,1225,188000,595,117200,217,49100,263,10300,241,14700,
seq_50_21,1225,169700,588,106500,220,27200,225,8000,196,12000,
seq_50_22,1225,181500,761,119800,220,19700,275,9100,255,13600,
seq_50_23,1225,171700,623,127900,223,38600,217,7200,223,12700,
seq_50_24,1225,212300,655,128600,222,46100,229,10100,187,18600,
seq_50_25,1225,187600,638,110100,219,23600,256,9300,272,18000,
seq_50_26,1225,187100,663,102600,215,18500,237,6800,240,11600,
seq_50_27,1225,178800,712,109700,225,35200,359,10300,273,14200,
seq_50_28,1225,220500,718,136000,224,41600,287,10700,259,15500,
seq_50_29,1225,219100,601,142600,221,37000,286,12100,256,18100,
seq_50_30,1225,219800,668,133000,223,32800,274,12100,274,20600,
seq_50_31,1225,182800,598,119400,220,26900,301,10600,228,13600,
seq_50_32,1225,317100,681,154200,221,27100,258,8800,217,112900,
seq_50_33,1225,205500,668,134600,224,32200,248,11100,223,16200,
seq_50_34,1225,164900,715,103500,220,15900,245,6500,207,8800,
seq_50_35,1225,167400,723,115000,219,14800,279,6100,226,9900,
seq_50_36,1225,164300,686,103400,222,17800,287,6800,225,9000,
seq_50_37,1225,186100,699,97600,224,16000,248,5300,252,8700,
seq_50_38,1225,167600,775,135800,222,18200,259,6600,199,23000,
seq_50_39,1225,159700,692,158800,225,24800,223,9100,229,18600,
